Timestamp,Title,Speaker,Speaker_inst,Abstract,Host,Site,In_Charge,arXiv,Date,Start_Time,End_Time,Timezone,Approved
-1,The scaling limit for directed polymers in an alpha-stable environment,Hubert Lacoin,Rio de Janairo and Marseille,-,One World Probability,https://www.wim.uni-mannheim.de/doering/one-world/,No,Math.PR,30/04/2020,15:00:00,16:00:00,UTC +02:00,YES
-1,Integrable fluctuations in 1+1 dimensional random growth,Jeremy Quastel,Toronto,-,One World Probability,https://www.wim.uni-mannheim.de/doering/one-world/,No,Math.PR,30/04/2020,16:00:00,17:00:00,UTC +02:00,YES
-1,"Random walks, spectral gaps, and Khinchine's theorem on fractals",Osama Khalil,Utah,"In 1984, Mahler asked how well typical points on Cantor’s set can be approximated by
rational numbers. His question fits within a program, set out by himself in the 1930s, attempting to
determine conditions under which subsets of $\mathbb R^d$
inherit the Diophantine properties of the ambient
space. Since the approximability of typical points in Euclidean space by rational points is governed
by Khinchine’s classical theorem, the ultimate form of Mahler’s question asks whether an analogous
zero-one law holds for fractal measures. Significant progress has been achieved in recent years,
albeit, almost all known results have been of “convergence type”.
In this talk, we will discuss the first instances where a complete analogue of Khinchine’s theorem
for fractal measures is obtained. Our results hold for fractals generated by rational similarities of $\mathbb R^d$

and having sufficiently small Hausdorff co-dimension. The main new ingredient is an effective
equidistribution theorem for certain fractal measures on the space of unimodular lattices. The latter
is established via a new technique involving the construction of $S$-arithmetic Markov operators
possessing a spectral gap and encoding the arithmetic structure of the maps generating the fractal.
This is joint work in progress with Manuel Luethi.",University of Maryland,https://www-math.umd.edu/dynamics-conference.html,No,Math.DS,09/04/2020,14:00:00,15:00:00,UTC -04:00,YES
-1,Stability and collapse of Oseledets spectrum for Perron-Frobenius cocycles,Anthony Quas,Victoria,"It is known, by work of Bochi, Mañé, Viana and others
that Lyapunov exponents are highly sensitive to perturbations of a
dynamical system. On the other hand, work of Ledrappier, Young
and my work with Froyland and Gonz´alez-Tokman has shown that
in some situations, under “noise-like” perturbations, Lyapunov exponents vary continuously.
We are particularly interested in cocycles of Perron-Frobenius
operators, as the Lyapunov exponents (and the corresponding Oseledets spaces) are related to rates of mixing (and the spaces can
identify obstructions to mixing). We discuss a test case of a random composition of Blaschke products, and their Perron-Frobenius
operators acting on a Hardy space of analytic functions. These operators are known to be compact. We identify the full Lyapunov
spectrum of these systems, and give necessary and sufficient conditions for the stability of the spectrum. [Joint work with Cecilia
Gonz´alez-Tokman.]",University of Maryland,https://www-math.umd.edu/dynamics-conference.html,No,Math.DS,16/04/2020,14:00:00,15:00:00,UTC -04:00,YES
-1,"A free boundary problem for the half-Laplacian, the Steklov eigenvalue and higher order generalizations",Maria del Mar Gonzalez,Universidad Autónoma de Madrid,"A free boundary problem for the half-Laplacian, the Steklov eigenvalue and higher order generalizations",One World PDE,https://people.bath.ac.uk/mw2319/owpde/,No,Math.AP,07/04/2020,15:00:00,15:50:00,UTC +01:00,YES
-1,"Nonlinear Aggregation-Diffusion Equations: Stationary States, Functional inequalities & Stabilization",José Antonio Carrillo,University of Oxford,"Nonlinear Aggregation-Diffusion Equations: Stationary States, Functional inequalities & Stabilization",One World PDE,https://people.bath.ac.uk/mw2319/owpde/,No,Math.AP,07/04/2020,16:00:00,16:50:00,UTC +01:01,YES
-1,Mathematical Analysis of Atmospheric Models with Moisture,Edriss S. Titi,"University of Cambridge, Texas A&M University, Weizmann Institute of Science",Mathematical Analysis of Atmospheric Models with Moisture,One World PDE,https://people.bath.ac.uk/mw2319/owpde/,No,Math.AP,14/04/2020,15:00:00,15:50:00,UTC +01:02,YES
-1,"Gross–Pitaeskii, Kadomtsev–Petviashvili, and Adler–Moser",Juncheng Wei,University of British Columbia,"Gross–Pitaeskii, Kadomtsev–Petviashvili, and Adler–Moser",One World PDE,https://people.bath.ac.uk/mw2319/owpde/,No,Math.AP,14/04/2020,16:00:00,16:50:00,UTC +01:03,YES
-1,TBA,Pierre Germain,Courant Institute,TBA,One World PDE,https://people.bath.ac.uk/mw2319/owpde/,No,Math.AP,21/04/2020,15:00:00,15:50:00,UTC +01:04,YES
-1,TBA,Tarek Elgindi,UC San Diego,TBA,One World PDE,https://people.bath.ac.uk/mw2319/owpde/,No,Math.AP,21/04/2020,16:00:00,16:50:00,UTC +01:05,YES
